node_id,layer,velocity_ms,altitude_km,doppler_hz,rssi_dbm,velocity_deviation,gps_distance_km,timestamp_delta_ms,traffic_encoded,layer_encoded,is_spoofed
MEO_01,MEO,8007.82,8000,-2477.83,-98.96,4107.82,73.8405,962,2,2,1
LEO_01,LEO,7802.01,550,-5004.56,-82.44,2.01,53.2451,971,0,1,0
GEO_01,GEO,3097.32,35786,-210.74,-103.86,2.68,63.9894,1005,0,3,0
LEO_01,LEO,26.91,550,13181.25,-82.06,7773.09,84.3841,969,2,1,1
HAPS_01,HAPS,9.63,20,-472.68,-67.97,5.37,41.6961,1033,0,0,0
HAPS_01,HAPS,8.08,20,4.66,-65.37,6.92,54.3283,0,2,0,1
HAPS_01,HAPS,16.17,20,-12.35,-67.14,1.17,42.0733,950,0,0,0
GEO_01,GEO,554.11,35786,-654.29,-102.11,2545.89,111.5719,954,2,3,1
MEO_01,MEO,8159.21,8000,-9271.49,-91.22,4259.21,85.687,1043,2,2,1
HAPS_01,HAPS,16.25,20,-95.66,-65.97,1.25,40.4754,997,0,0,0
LEO_01,LEO,7800.41,550,40580.92,-84.37,0.41,16.2196,971,1,1,0
LEO_01,LEO,7801.05,550,8502.36,-85.54,1.05,49.2808,1004,0,1,0
HAPS_01,HAPS,6.07,20,205.91,-66.93,8.93,32.3107,974,0,0,0
GEO_01,GEO,3104.28,35786,-856.43,-102.82,4.28,66.4635,985,1,3,0
MEO_01,MEO,3900.49,8000,-5512.81,-95.38,0.49,19.6572,0,2,2,1
LEO_01,LEO,7804.26,550,-9977.92,-85.02,4.26,36.9472,959,0,1,0
MEO_01,MEO,3895.07,8000,-9083.84,-93.55,4.93,57.749,1005,0,2,0
HAPS_01,HAPS,15.25,20,109.05,-62.96,0.25,4244.2267,957,2,0,1
GEO_01,GEO,3094.1,35786,-51.78,-107.21,5.9,50.043,0,2,3,1
MEO_01,MEO,3896.92,8000,-8109.64,-93.05,3.08,34.2993,1040,0,2,0
HAPS_01,HAPS,4.05,20,80.5,-67.83,10.95,47.4895,988,2,0,1
MEO_01,MEO,3901.08,8000,4602.58,-92.54,1.08,36.3448,973,0,2,0
MEO_01,MEO,3901.44,8000,-5025.94,-97.84,1.44,21.4301,987,0,2,0
HAPS_01,HAPS,24.28,20,-321.36,-67.62,9.28,63.2418,1026,0,0,0
HAPS_01,HAPS,16.3,20,-411.27,-64.64,1.3,22.1724,979,1,0,0
HAPS_01,HAPS,10.27,20,331.23,-67.85,4.73,36.3366,1028,0,0,0
HAPS_01,HAPS,17.3,20,-456.1,-63.0,2.3,43.1955,1024,0,0,0
MEO_01,MEO,7831.02,8000,4944.53,-95.14,3931.02,123.2964,979,2,2,1
GEO_01,GEO,325.16,35786,630.01,-108.67,2774.84,99.0606,1013,2,3,1
GEO_01,GEO,3104.6,35786,444.2,-103.35,4.6,40.1559,1046,0,3,0
MEO_01,MEO,3897.11,8000,7508.46,-94.18,2.89,38.7466,992,0,2,0
GEO_01,GEO,3099.48,35786,301.01,-103.57,0.52,72.6033,999,0,3,0
HAPS_01,HAPS,7.5,20,-357.72,-67.56,7.5,20.8532,1014,0,0,0
LEO_01,LEO,7802.9,550,26799.25,-83.66,2.9,15.4716,1010,0,1,0
HAPS_01,HAPS,23.48,20,287.83,-64.25,8.48,48.6989,1019,0,0,0
LEO_01,LEO,7803.04,550,-46054.78,-87.99,3.04,64.0243,987,0,1,0
LEO_01,LEO,7792.0,550,8399.12,-88.13,8.0,6242.6462,1037,2,1,1
MEO_01,MEO,3892.28,8000,-9500.62,-92.46,7.72,40.1062,995,0,2,0
GEO_01,GEO,3090.43,35786,22.9,-102.6,9.57,42.6604,999,0,3,0
GEO_01,GEO,3091.33,35786,292.91,-103.35,8.67,24.3855,0,2,3,1
MEO_01,MEO,3900.48,8000,-5331.53,-96.46,0.48,5.109,1046,0,2,0
GEO_01,GEO,3102.43,35786,337.43,-103.47,2.43,52.2076,999,0,3,0
HAPS_01,HAPS,5.82,20,-36.43,-65.53,9.18,5224.6525,1040,2,0,1
LEO_01,LEO,7807.5,550,32044.79,-86.99,7.5,60.1648,1000,0,1,0
HAPS_01,HAPS,15.71,20,-14.84,-62.97,0.71,42.4125,963,0,0,0
HAPS_01,HAPS,1.68,20,-105.47,-67.49,13.32,41.3674,985,2,0,1
LEO_01,LEO,7808.77,550,22894.88,-89.06,8.77,5437.1215,998,2,1,1
GEO_01,GEO,3098.28,35786,578.77,-106.03,1.72,49.8329,1045,0,3,0
GEO_01,GEO,3107.52,35786,-771.92,-105.94,7.52,37.0034,1042,0,3,0
HAPS_01,HAPS,19.33,20,351.81,-63.94,4.33,48.688,967,0,0,0
HAPS_01,HAPS,15.76,20,-318.16,-66.55,0.76,45.829,993,0,0,0
MEO_01,MEO,7840.99,8000,4737.82,-93.28,3940.99,89.9024,1012,2,2,1
GEO_01,GEO,3100.87,35786,705.04,-102.18,0.87,24.6808,951,0,3,0
HAPS_01,HAPS,21.45,20,475.99,-64.37,6.45,21.4951,1033,0,0,0
HAPS_01,HAPS,11.95,20,-108.36,-66.83,3.05,33.7995,1044,0,0,0
GEO_01,GEO,3094.18,35786,412.95,-103.56,5.82,29.5652,960,0,3,0
GEO_01,GEO,3102.36,35786,411.46,-103.11,2.36,49.1456,1037,0,3,0
HAPS_01,HAPS,13.73,20,374.99,-62.56,1.27,35.7036,950,1,0,0
GEO_01,GEO,3101.67,35786,-987.38,-107.86,1.67,37.7078,973,0,3,0
MEO_01,MEO,3894.82,8000,-5319.16,-95.58,5.18,36.5915,1012,0,2,0
HAPS_01,HAPS,9.1,20,-85.29,-66.17,5.9,28.0341,1014,0,0,0
LEO_01,LEO,7803.09,550,-29970.16,-85.81,3.09,66.1272,997,0,1,0
LEO_01,LEO,7796.5,550,15353.84,-86.52,3.5,34.0809,985,0,1,0
MEO_01,MEO,3896.88,8000,9267.45,-94.7,3.12,47.5697,1027,0,2,0
HAPS_01,HAPS,10.72,20,362.14,-67.71,4.28,37.1644,1005,0,0,0
HAPS_01,HAPS,17.0,20,-448.8,-62.07,2.0,26.3521,964,0,0,0
MEO_01,MEO,3893.58,8000,-5781.29,-92.95,6.42,14.5042,1035,0,2,0
LEO_01,LEO,7805.64,550,-38495.06,-83.72,5.64,48.1274,1024,0,1,0
GEO_01,GEO,3109.4,35786,-337.07,-104.68,9.4,41.6103,991,0,3,0
HAPS_01,HAPS,13.59,20,-178.13,-66.45,1.41,52.2692,954,0,0,0
LEO_01,LEO,7802.45,550,45679.83,-85.11,2.45,39.394,953,0,1,0
LEO_01,LEO,7809.8,550,-18683.56,-80.77,9.8,7262.5929,1048,2,1,1
GEO_01,GEO,3103.16,35786,-805.3,-104.4,3.16,6018.7333,1013,2,3,1
LEO_01,LEO,7800.25,550,-2244.27,-86.63,0.25,17.364,974,0,1,0
HAPS_01,HAPS,13.04,20,41.17,-64.17,1.96,42.496,972,0,0,0
MEO_01,MEO,3904.21,8000,-174.77,-96.08,4.21,38.041,1000,0,2,0
HAPS_01,HAPS,20.44,20,374.2,-65.57,5.44,14.7713,1031,0,0,0
MEO_01,MEO,7900.38,8000,7808.91,-97.7,4000.38,127.8876,990,2,2,1
MEO_01,MEO,3906.01,8000,-3726.09,-97.99,6.01,7.2597,1016,0,2,0
HAPS_01,HAPS,1.71,20,327.18,-61.69,13.29,57.9636,1020,2,0,1
MEO_01,MEO,3895.34,8000,157.72,-98.04,4.66,5264.2475,975,2,2,1
GEO_01,GEO,3096.38,35786,-25.73,-107.2,3.62,63.7139,975,0,3,0
MEO_01,MEO,3896.13,8000,6758.93,-93.1,3.87,48.7694,980,0,2,0
MEO_01,MEO,3897.94,8000,1833.26,-96.34,2.06,43.5382,961,0,2,0
HAPS_01,HAPS,11.64,20,267.42,-64.4,3.36,15.8045,962,0,0,0
GEO_01,GEO,3097.92,35786,19.13,-102.26,2.08,19.1642,990,0,3,0
MEO_01,MEO,3904.04,8000,7935.2,-97.18,4.04,47.0199,993,0,2,0
LEO_01,LEO,7791.94,550,-23267.99,-82.98,8.06,27.6606,998,1,1,0
LEO_01,LEO,7809.63,550,-20555.51,-83.6,9.63,34.0786,1026,0,1,0
HAPS_01,HAPS,6.95,20,381.14,-66.26,8.05,48.419,1020,0,0,0
GEO_01,GEO,3096.26,35786,62.53,-106.12,3.74,37.9211,1005,0,3,0
MEO_01,MEO,3909.48,8000,-9342.1,-96.43,9.48,36.0332,1017,0,2,0
MEO_01,MEO,3894.93,8000,4876.37,-93.41,5.07,53.6765,957,0,2,0
HAPS_01,HAPS,24.2,20,122.26,-62.64,9.2,50.4708,0,2,0,1
LEO_01,LEO,7804.88,550,-9054.07,-84.48,4.88,36.3559,0,2,1,1
LEO_01,LEO,7798.22,550,45942.03,-82.91,1.78,68.8798,969,0,1,0
LEO_01,LEO,7809.2,550,-25805.02,-83.87,9.2,51.3632,1040,0,1,0
HAPS_01,HAPS,7.45,20,331.65,-63.27,7.55,57.1985,957,0,0,0
HAPS_01,HAPS,17.85,20,-88.26,-66.86,2.85,17.2069,990,0,0,0
HAPS_01,HAPS,13.08,20,441.6,-64.58,1.92,63.8515,1034,0,0,0
MEO_01,MEO,3899.56,8000,6334.18,-92.06,0.44,42.8215,1038,0,2,0
MEO_01,MEO,3903.13,8000,-2863.0,-97.65,3.13,7.7281,970,1,2,0
MEO_01,MEO,3907.64,8000,-9159.44,-93.79,7.64,4.8359,999,0,2,0
MEO_01,MEO,3905.02,8000,-1322.0,-97.52,5.02,22.3589,958,0,2,0
MEO_01,MEO,3895.56,8000,-4848.33,-94.34,4.44,48.8804,998,0,2,0
HAPS_01,HAPS,14.27,20,88.12,-65.37,0.73,29.4542,1009,0,0,0
LEO_01,LEO,7803.44,550,43121.34,-87.15,3.44,34.7256,1042,0,1,0
GEO_01,GEO,3109.8,35786,-338.23,-104.08,9.8,34.3916,953,0,3,0
MEO_01,MEO,3895.51,8000,-9367.47,-95.63,4.49,45.5128,0,2,2,1
LEO_01,LEO,7801.85,550,-47253.9,-85.7,1.85,60.3997,962,0,1,0
MEO_01,MEO,3895.0,8000,8441.33,-94.45,5.0,42.8059,994,0,2,0
GEO_01,GEO,3093.65,35786,-61.63,-103.22,6.35,5780.6079,1012,2,3,1
GEO_01,GEO,3096.81,35786,-964.68,-104.68,3.19,37.9176,1017,1,3,0
MEO_01,MEO,3896.21,8000,-1053.38,-97.97,3.79,26.5539,961,0,2,0
MEO_01,MEO,3895.37,8000,-9447.54,-92.44,4.63,18.8183,1028,0,2,0
MEO_01,MEO,3909.76,8000,6703.71,-97.1,9.76,6294.3533,987,2,2,1
LEO_01,LEO,7786.18,550,26249.57,-85.22,13.82,4911.1813,995,2,1,1
LEO_01,LEO,7802.09,550,-43316.68,-83.57,2.09,50.1994,1037,0,1,0
HAPS_01,HAPS,1.67,20,55.28,-63.57,13.33,38.8183,1042,2,0,1
LEO_01,LEO,7795.44,550,46528.56,-87.11,4.56,22.3446,990,0,1,0
LEO_01,LEO,7806.06,550,-25715.23,-85.27,6.06,38.515,961,1,1,0
GEO_01,GEO,3109.24,35786,806.46,-107.89,9.24,50.3215,1013,0,3,0
LEO_01,LEO,7797.04,550,-25916.38,-87.34,2.96,39.3367,1012,0,1,0
GEO_01,GEO,572.08,35786,141.12,-102.74,2527.92,93.3242,981,2,3,1
MEO_01,MEO,3905.09,8000,5973.28,-97.35,5.09,58.3853,0,2,2,1
HAPS_01,HAPS,24.51,20,427.55,-67.7,9.51,20.3304,1002,0,0,0
GEO_01,GEO,3106.44,35786,774.8,-104.36,6.44,37.5636,1003,0,3,0
LEO_01,LEO,26.73,550,1372.16,-84.85,7773.27,111.3278,974,2,1,1
GEO_01,GEO,3099.53,35786,-901.81,-105.55,0.47,49.6892,1001,0,3,0
GEO_01,GEO,3093.95,35786,166.19,-105.99,6.05,64.0073,950,0,3,0
GEO_01,GEO,3100.85,35786,-324.23,-104.38,0.85,52.1527,952,0,3,0
MEO_01,MEO,3907.46,8000,8270.92,-96.13,7.46,43.0308,1025,0,2,0
HAPS_01,HAPS,20.4,20,190.29,-64.17,5.4,29.3985,967,1,0,0
GEO_01,GEO,3104.09,35786,-519.73,-106.16,4.09,22.7933,1038,1,3,0
LEO_01,LEO,7802.41,550,16302.82,-87.12,2.41,56.3688,1013,0,1,0
LEO_01,LEO,7790.96,550,32430.75,-87.49,9.04,64.0994,986,0,1,0
HAPS_01,HAPS,21.56,20,-372.13,-63.46,6.56,48.2376,962,0,0,0
MEO_01,MEO,3895.29,8000,5958.33,-93.34,4.71,36.1161,1011,0,2,0
LEO_01,LEO,7786.19,550,-815.06,-82.83,13.81,5948.8776,1030,2,1,1
LEO_01,LEO,7797.8,550,6767.93,-82.77,2.2,43.8397,1044,0,1,0
HAPS_01,HAPS,23.27,20,48.65,-62.57,8.27,28.9811,1038,0,0,0
LEO_01,LEO,7795.92,550,29218.81,-85.16,4.08,37.7106,965,0,1,0
LEO_01,LEO,7799.45,550,10671.33,-86.97,0.55,46.4152,984,0,1,0
GEO_01,GEO,3101.38,35786,-595.29,-103.58,1.38,46.2762,951,0,3,0
HAPS_01,HAPS,22.19,20,393.13,-64.28,7.19,29.6332,1000,0,0,0
MEO_01,MEO,3900.63,8000,-9326.96,-96.23,0.63,9.3343,989,0,2,0
HAPS_01,HAPS,18.76,20,454.56,-64.08,3.76,34.2884,1034,0,0,0
HAPS_01,HAPS,14.87,20,-13.55,-62.75,0.13,43.3927,1048,0,0,0
HAPS_01,HAPS,24.98,20,381.94,-65.79,9.98,46.8929,1008,0,0,0
GEO_01,GEO,3101.81,35786,646.43,-105.04,1.81,21.9795,1031,0,3,0
MEO_01,MEO,3903.93,8000,5115.17,-95.99,3.93,34.5122,1010,0,2,0
HAPS_01,HAPS,7.89,20,56.4,-62.05,7.11,44.6951,0,2,0,1
MEO_01,MEO,3892.63,8000,5677.52,-95.2,7.37,15.1141,974,0,2,0
LEO_01,LEO,7797.81,550,-44402.56,-85.06,2.19,0.9751,979,0,1,0
GEO_01,GEO,3109.67,35786,991.45,-102.82,9.67,31.8449,1044,0,3,0
GEO_01,GEO,3101.14,35786,671.05,-102.09,1.14,65.4987,0,2,3,1
GEO_01,GEO,3095.7,35786,-214.55,-103.2,4.3,50.5032,1041,0,3,0
